U,WallDistance,nut
0.113436,0.021490,0.000174
0.123988,0.021024,0.000180
0.134642,0.035218,0.000321
0.125988,0.035508,0.000308
0.142294,0.054795,0.000467
0.134437,0.054985,0.000451
0.148552,0.081190,0.000623
0.140932,0.081321,0.000605
0.154041,0.116542,0.000783
0.146276,0.116639,0.000765
0.159272,0.163776,0.000942
0.151132,0.163854,0.000927
0.164803,0.226821,0.001084
0.156139,0.226890,0.001075
0.170724,0.304057,0.001175
0.161575,0.304127,0.001179
0.175987,0.381295,0.001208
0.166636,0.381373,0.001227
0.179900,0.441047,0.001217
0.170574,0.444443,0.001245
0.182585,0.472092,0.001219
0.173375,0.491727,0.001252
0.184417,0.485483,0.001218
0.175343,0.527176,0.001255
0.185711,0.492739,0.001216
0.176761,0.550084,0.001255
0.186639,0.493156,0.001212
0.177790,0.560647,0.001254
0.187311,0.491970,0.001207
0.178545,0.563325,0.001252
0.187798,0.491352,0.001200
0.179099,0.563079,0.001250
0.188233,0.491016,0.001191
0.179605,0.562963,0.001246
0.188685,0.490839,0.001177
0.180199,0.562922,0.001239
0.180869,0.562912,0.001228
0.189034,0.490732,0.001154
0.181521,0.562902,0.001210
0.189024,0.490627,0.001120
0.181965,0.562895,0.001183
0.188191,0.490528,0.001076
0.181841,0.562889,0.001145
0.185775,0.490438,0.001025
0.180719,0.490360,0.000975
0.180516,0.562886,0.001099
0.171884,0.490297,0.000934
0.177082,0.562885,0.001051
0.158461,0.490248,0.000912
0.140419,0.490216,0.000914
0.000000,0.000000,0.000000
0.079546,0.009646,0.000058
0.105249,0.021374,0.000172
0.118757,0.035439,0.000302
0.127864,0.054944,0.000442
0.134683,0.081299,0.000594
0.140078,0.116629,0.000755
0.144755,0.163854,0.000918
0.149416,0.226902,0.001070
0.154511,0.304150,0.001181
0.159418,0.381410,0.001238
0.163349,0.444496,0.001264
0.166197,0.491794,0.001276
0.168238,0.521500,0.001282
0.169731,0.536640,0.001286
0.170830,0.545540,0.001287
0.171644,0.548760,0.001287
0.172244,0.548809,0.001287
0.172788,0.548869,0.001285
0.173443,0.548935,0.001282
0.174236,0.549001,0.001277
0.175129,0.549068,0.001267
0.176033,0.549134,0.001250
0.176776,0.549196,0.001224
0.176993,0.549253,0.001188
0.000000,0.000000,0.000000
0.073493,0.008857,0.000057
0.098711,0.020144,0.000169
0.112574,0.034710,0.000298
0.122137,0.054483,0.000435
0.129243,0.080993,0.000585
0.134691,0.116422,0.000746
0.139180,0.163714,0.000909
0.143483,0.226810,0.001065
0.148255,0.304095,0.001182
0.153062,0.381383,0.001248
0.157046,0.443166,0.001280
0.159998,0.479016,0.001297
0.162151,0.490994,0.001307
0.163742,0.492847,0.001313
0.164923,0.492869,0.001317
0.165799,0.492901,0.001319
0.166441,0.492941,0.001320
0.167021,0.492989,0.001320
0.167724,0.493040,0.001320
0.168597,0.493092,0.001318
0.169630,0.493144,0.001314
0.170782,0.493195,0.001305
0.171985,0.493245,0.001289
0.173038,0.493290,0.001264
0.000000,0.000000,0.000000
0.068814,0.008779,0.000055
0.093354,0.020047,0.000167
0.107185,0.034643,0.000294
0.116939,0.054437,0.000430
0.124199,0.080964,0.000578
0.129633,0.116405,0.000738
0.133887,0.163707,0.000903
0.137790,0.226813,0.001061
0.142237,0.304107,0.001184
0.146980,0.381406,0.001256
0.151065,0.429790,0.001294
0.154147,0.442097,0.001316
0.156417,0.442093,0.001329
0.158106,0.442103,0.001337
0.159360,0.442123,0.001343
0.160290,0.442150,0.001347
0.160969,0.442182,0.001350
0.161579,0.442222,0.001352
0.162321,0.442264,0.001354
0.163253,0.442304,0.001356
0.164372,0.442345,0.001356
0.165664,0.442386,0.001353
0.167114,0.442425,0.001345
0.168627,0.442463,0.001329
0.129231,0.387293,0.000810
0.102584,0.387258,0.000837
0.000000,0.000000,0.000000
0.110635,0.010067,0.000065
0.132163,0.022021,0.000191
0.141628,0.035796,0.000336
0.148946,0.055159,0.000486
0.155197,0.081431,0.000643
0.161004,0.116703,0.000802
0.166803,0.163880,0.000958
0.173022,0.226881,0.001093
0.179556,0.304079,0.001168
0.185043,0.376022,0.001185
0.188864,0.410929,0.001184
0.191331,0.408811,0.001183
0.192942,0.399088,0.001181
0.194046,0.393766,0.001176
0.194805,0.390919,0.001167
0.195311,0.389423,0.001154
0.195632,0.388645,0.001140
0.195853,0.388222,0.001121
0.195884,0.388000,0.001092
0.195353,0.387869,0.001049
0.193643,0.387740,0.000995
0.189756,0.387619,0.000934
0.182375,0.387512,0.000877
0.170182,0.387421,0.000833
0.152353,0.387347,0.000810
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.058792,0.013174,0.000067
0.051606,0.013332,0.000062
0.000000,0.000000,0.000000
0.066281,0.012752,0.000077
0.070067,0.028955,0.000177
0.063111,0.029227,0.000165
0.077188,0.028260,0.000194
0.000000,0.000000,0.000000
0.045233,0.013134,0.000057
0.056781,0.028927,0.000156
0.060550,0.047587,0.000263
0.066388,0.047757,0.000278
0.072851,0.047593,0.000296
0.079586,0.047188,0.000320
0.060201,0.071116,0.000386
0.065393,0.071220,0.000407
0.071136,0.071108,0.000431
0.077177,0.070841,0.000461
0.060990,0.100394,0.000557
0.065787,0.100310,0.000588
0.070821,0.100123,0.000621
0.053710,0.136480,0.000722
0.057346,0.136414,0.000761
0.061092,0.136276,0.000796
0.065773,0.137308,0.001325
0.067652,0.137054,0.001251
0.049248,0.181842,0.001269
0.049366,0.181627,0.001217
0.064105,0.137588,0.001398
0.049792,0.182071,0.001321
0.036471,0.236744,0.001159
0.039081,0.236934,0.001194
0.082272,0.010596,0.000286
0.000000,0.000000,0.000000
0.072535,0.010182,0.000277
0.000000,0.000000,0.000000
0.074713,0.022936,0.000720
0.064828,0.022282,0.000700
0.063897,0.009706,0.000268
0.000000,0.000000,0.000000
0.056399,0.021531,0.000680
0.057199,0.009366,0.000261
0.000000,0.000000,0.000000
0.049982,0.021007,0.000665
0.052355,0.009144,0.000257
0.000000,0.000000,0.000000
0.045508,0.020677,0.000657
0.049303,0.009014,0.000258
0.000000,0.000000,0.000000
0.043029,0.020498,0.000658
0.047820,0.008967,0.000267
0.000000,0.000000,0.000000
0.042708,0.020458,0.000671
0.048810,0.009042,0.000287
0.000000,0.000000,0.000000
0.045201,0.020593,0.000696
0.054048,0.009390,0.000329
0.000000,0.000000,0.000000
0.050890,0.021030,0.000729
0.068519,0.010209,0.000351
0.000000,0.000000,0.000000
0.060684,0.021868,0.000735
0.090480,0.013647,0.000397
0.000000,0.000000,0.000002
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.078648,0.013504,0.000108
0.073139,0.013052,0.000090
0.000000,0.000000,0.000000
0.082735,0.013329,0.000130
0.000000,0.000000,0.000000
0.085326,0.013069,0.000153
0.000000,0.000000,0.000000
0.086425,0.012881,0.000176
0.000000,0.000000,0.000000
0.086202,0.012759,0.000199
0.000000,0.000000,0.000000
0.084916,0.012693,0.000220
0.000000,0.000000,0.000000
0.083130,0.012685,0.000236
0.000000,0.000000,0.000000
0.081866,0.012777,0.000248
0.000000,0.000000,0.000000
0.086064,0.013115,0.000201
0.000000,0.000000,0.000002
0.099815,0.013900,0.000178
0.106639,0.016498,0.000316
0.097313,0.023296,0.000585
0.089046,0.029496,0.000247
0.083769,0.028746,0.000218
0.092880,0.029237,0.000278
0.095574,0.028839,0.000308
0.097434,0.028556,0.000335
0.098823,0.028382,0.000359
0.100164,0.028302,0.000376
0.101584,0.028318,0.000386
0.102221,0.028476,0.000390
0.102311,0.028899,0.000393
0.102898,0.029708,0.000453
0.099772,0.032306,0.000635
0.092660,0.036939,0.000871
0.085961,0.047479,0.000352
0.091195,0.047925,0.000389
0.095198,0.047783,0.000426
0.098413,0.047565,0.000463
0.101124,0.047427,0.000499
0.103530,0.047367,0.000533
0.105658,0.047384,0.000567
0.107244,0.047489,0.000602
0.107485,0.047715,0.000647
0.105790,0.048120,0.000711
0.102616,0.048709,0.000821
0.097598,0.050337,0.000987
0.082942,0.071037,0.000498
0.087706,0.071339,0.000540
0.091435,0.071259,0.000584
0.094550,0.071135,0.000630
0.097216,0.071073,0.000679
0.099439,0.071076,0.000732
0.101014,0.071145,0.000790
0.101550,0.071290,0.000856
0.100541,0.071530,0.000935
0.097731,0.071883,0.001031
0.093624,0.072327,0.001149
0.075580,0.100265,0.000660
0.079414,0.100486,0.000702
0.082323,0.100444,0.000747
0.084661,0.100377,0.000798
0.086490,0.100361,0.000855
0.087733,0.100400,0.000919
0.088185,0.100497,0.000991
0.087604,0.100656,0.001071
0.085833,0.100884,0.001158
0.082974,0.101184,0.001252
0.079581,0.101532,0.001350
0.064527,0.136385,0.000830
0.067104,0.136555,0.000863
0.068837,0.136537,0.000897
0.070022,0.136507,0.000939
0.070712,0.136520,0.000988
0.070863,0.136580,0.001045
0.070396,0.136688,0.001109
0.069287,0.136846,0.001178
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.014447,0.006752,0.000082
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.023062,0.010995,0.000176
0.000000,0.000000,0.000000
0.036705,0.012460,0.000252
0.000000,0.000000,0.000000
0.053947,0.012622,0.000307
0.000000,0.000000,0.000000
0.075906,0.012812,0.000351
0.000000,0.000000,0.000000
0.099700,0.013101,0.000389
0.000000,0.000000,0.000000
0.120426,0.013418,0.000432
0.000000,0.000000,0.000000
0.128985,0.013171,0.000423
0.000000,0.000000,0.000001
0.111865,0.012779,0.000370
0.000000,0.000000,0.000002
0.066120,0.013157,0.000373
0.000000,0.000000,0.000003
0.043861,0.013403,0.000397
0.000000,0.000000,0.000004
0.126864,0.013097,0.000389
0.000000,0.000000,0.000005
0.228250,0.012827,0.000373
0.000000,0.000000,0.000007
0.340381,0.012683,0.000352
0.000000,0.000000,0.000008
0.451773,0.012629,0.000329
0.000000,0.000000,0.000010
0.580138,0.010053,0.000302
0.022911,0.008820,0.000128
0.000000,0.000000,0.000000
0.032587,0.018502,0.000299
0.044094,0.025531,0.000441
0.057158,0.028169,0.000545
0.074759,0.028458,0.000628
0.094959,0.028904,0.000700
0.112614,0.029382,0.000779
0.119490,0.028933,0.000840
0.104757,0.028267,0.000921
0.068128,0.028900,0.001012
0.065023,0.029346,0.000991
0.143978,0.028890,0.000886
0.241719,0.028476,0.000775
0.344342,0.028242,0.000668
0.447745,0.025348,0.000576
0.564588,0.015370,0.000482
0.036401,0.008845,0.000165
0.000000,0.000000,0.000000
0.044203,0.020328,0.000403
0.052231,0.033373,0.000629
0.060686,0.043675,0.000808
0.072566,0.047323,0.000956
0.087669,0.047578,0.001090
0.101750,0.047855,0.001242
0.107676,0.047582,0.001414
0.097232,0.047177,0.001591
0.078151,0.047546,0.001646
0.098338,0.047823,0.001472
0.166601,0.047582,0.001207
0.251896,0.047380,0.000968
0.343696,0.044649,0.000764
0.438274,0.035621,0.000601
0.551300,0.021480,0.000440
0.051384,0.008903,0.000192
0.000000,0.000000,0.000000
0.057501,0.020359,0.000487
0.061321,0.035129,0.000800
0.064224,0.052938,0.001071
0.069364,0.066596,0.001309
0.078391,0.071106,0.001526
0.089117,0.071278,0.001755
0.095553,0.071088,0.002013
0.092206,0.070810,0.002223
0.094084,0.071052,0.002175
0.131366,0.071249,0.001838
0.192827,0.071117,0.001442
0.263096,0.067376,0.001102
0.337589,0.055864,0.000815
0.413312,0.040936,0.000582
0.511243,0.027582,0.000349
0.068383,0.008995,0.000212
0.000000,0.000000,0.000000
0.072305,0.020469,0.000553
