U:0,U:1,U:2,WallDistance,nut,U
-0.048407,0.006113,-0.000035,0.071020,0.000307,0.048792
0.101999,0.066774,0.000952,0.396327,0.000936,0.121916
0.099633,0.067691,0.000843,0.396297,0.000950,0.120455
0.101748,0.061002,0.001288,0.354392,0.000964,0.118640
0.099051,0.061946,0.001192,0.354366,0.000974,0.116833
0.104391,0.065218,0.001055,0.396357,0.000915,0.123093
0.104671,0.059579,0.001383,0.354420,0.000947,0.120447
0.106478,0.062530,0.001136,0.396388,0.000888,0.123486
0.107608,0.057282,0.001463,0.354449,0.000921,0.121913
0.101275,0.055266,0.001669,0.316304,0.000952,0.115385
0.098353,0.056279,0.001584,0.316280,0.000963,0.113328
0.104570,0.053876,0.001753,0.316329,0.000932,0.117646
0.108130,0.051803,0.001827,0.316358,0.000903,0.119912
0.100767,0.049574,0.002078,0.281709,0.000863,0.112320
0.097673,0.050669,0.002002,0.281687,0.000885,0.110052
0.104357,0.048164,0.002153,0.281733,0.000832,0.114955
0.108432,0.046211,0.002219,0.281763,0.000789,0.117889
0.100531,0.043920,0.002517,0.250287,0.000671,0.109735
0.097224,0.045101,0.002443,0.250266,0.000705,0.107203
0.104491,0.042452,0.002589,0.250311,0.000630,0.112815
0.109220,0.040531,0.002654,0.250342,0.000585,0.116528
0.086687,0.065823,0.000725,0.354152,0.000966,0.108848
0.085379,0.060633,0.001143,0.316097,0.000964,0.104724
0.087705,0.065490,0.000760,0.354175,0.000969,0.109460
0.086445,0.060277,0.001178,0.316117,0.000966,0.105392
0.088632,0.065163,0.000795,0.354204,0.000971,0.110012
0.087417,0.059926,0.001212,0.316142,0.000968,0.105992
0.089754,0.064766,0.000839,0.354233,0.000974,0.110685
0.088590,0.059493,0.001255,0.316167,0.000970,0.106720
0.091120,0.064311,0.000891,0.354259,0.000976,0.111533
0.090017,0.058990,0.001306,0.316190,0.000971,0.107632
0.092718,0.063812,0.000952,0.354286,0.000978,0.112559
0.091685,0.058427,0.001364,0.316212,0.000972,0.108728
0.094549,0.063266,0.001022,0.354313,0.000980,0.113768
0.093600,0.057799,0.001430,0.316235,0.000972,0.110017
0.096652,0.062660,0.001103,0.354340,0.000979,0.115191
0.095808,0.057095,0.001504,0.316257,0.000970,0.111540
0.079105,0.062686,0.000945,0.316062,0.000950,0.100936
0.077648,0.057445,0.001376,0.281499,0.000921,0.096597
0.081902,0.061751,0.001036,0.316067,0.000957,0.102577
0.080586,0.056486,0.001469,0.281501,0.000924,0.098422
0.083914,0.061102,0.001098,0.316080,0.000961,0.103809
0.082696,0.055826,0.001532,0.281512,0.000925,0.099787
0.084227,0.055350,0.001577,0.281527,0.000925,0.100798
0.085338,0.054989,0.001611,0.281544,0.000925,0.101533
0.086347,0.054629,0.001645,0.281567,0.000924,0.102190
0.087562,0.054181,0.001688,0.281589,0.000923,0.102983
0.089037,0.053652,0.001738,0.281608,0.000920,0.103967
0.090758,0.053049,0.001795,0.281627,0.000916,0.105140
0.092733,0.052362,0.001858,0.281647,0.000910,0.106512
0.095018,0.051578,0.001928,0.281666,0.000900,0.108132
0.076384,0.052036,0.001814,0.250103,0.000833,0.092442
0.079478,0.051076,0.001909,0.250102,0.000826,0.094494
0.081695,0.050426,0.001975,0.250111,0.000820,0.096025
0.083296,0.049966,0.002021,0.250123,0.000814,0.097154
0.084451,0.049618,0.002055,0.250138,0.000809,0.097970
0.085496,0.049267,0.002090,0.250158,0.000804,0.098697
0.086748,0.048823,0.002133,0.250179,0.000796,0.099566
0.088264,0.048287,0.002183,0.250195,0.000786,0.100633
0.090035,0.047664,0.002240,0.250212,0.000773,0.101898
0.092071,0.046937,0.002303,0.250229,0.000755,0.103371
0.094440,0.046091,0.002371,0.250247,0.000733,0.105114
0.010508,0.155208,0.000820,0.011189,0.000120,0.155565
0.010783,0.154989,0.000809,0.011225,0.000120,0.155366
0.010625,0.155003,0.000820,0.011223,0.000120,0.155369
0.010422,0.154976,0.000786,0.011243,0.000120,0.155328
0.011425,0.154629,0.000807,0.011265,0.000121,0.155053
0.061261,0.107674,-0.000262,0.018080,0.000187,0.123882
0.061772,0.107474,-0.000275,0.018096,0.000187,0.123962
0.361678,0.020328,0.000746,0.011292,0.000262,0.362250
0.434937,-0.005456,0.000076,0.019109,0.000398,0.434971
0.359147,0.021167,0.000736,0.011259,0.000261,0.359771
0.437077,-0.006140,0.000078,0.019114,0.000399,0.437120
0.967711,-0.032628,0.000511,0.008190,0.002510,0.968261
0.967613,-0.032611,0.000528,0.008215,0.002507,0.968163
0.967421,-0.033077,0.000521,0.008217,0.002502,0.967986
0.914111,-0.097336,-0.000134,0.010293,0.001564,0.919279
0.842211,-0.072963,0.000738,0.017074,0.000964,0.845366
0.914068,-0.097790,-0.000173,0.010267,0.001564,0.919284
0.842544,-0.072697,0.000776,0.017074,0.000966,0.845675
1.000000,0.000000,0.000000,0.000000,0.006213,1.000000
1.000000,0.000000,0.000000,0.000000,0.006213,1.000000
0.991172,-0.016377,0.000072,0.006731,0.001556,0.991307
0.937145,-0.030099,0.000813,0.015515,0.001526,0.937629
0.975598,-0.018732,0.000850,0.010778,0.001035,0.975778
0.999907,-0.000573,0.000008,0.000180,0.005994,0.999907
0.991208,-0.016355,0.000069,0.006714,0.001556,0.991343
0.991157,-0.016374,0.000083,0.006743,0.001552,0.991292
0.975667,-0.018717,0.000852,0.010766,0.001034,0.975847
0.983236,-0.012728,0.000047,0.004250,0.000630,0.983318
0.970689,-0.012462,0.000753,0.005567,0.000430,0.970769
0.983355,-0.012739,0.000040,0.004257,0.000632,0.983438
0.970612,-0.012452,0.000759,0.005551,0.000427,0.970692
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.152544,0.211923,0.001093,0.001970,0.000157,0.261117
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.021156,0.308350,0.003275,0.001968,0.000059,0.309092
