U:0,U:1,U:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
0.0413095,0.15311,0.100961,0.000902405,0.364792,0.608193,1.57872,1.6256,119,0,1
0.0426635,0.140641,0.0905496,0.000827589,0.364268,0.62184,1.5783,1.6256,120,0,1
0.0426022,0.120268,0.0716204,0.000787175,0.363829,0.638085,1.57785,1.6256,121,0,1
0.0404704,0.0943085,0.0450291,0.000784403,0.363411,0.657397,1.57742,1.6256,122,0,1
0.0368061,0.0668963,0.0131962,0.000804397,0.363044,0.680338,1.57704,1.6256,123,0,1
0.0323505,0.0429545,-0.0178822,0.000827064,0.36274,0.707584,1.57673,1.6256,124,0,1
0.0265663,0.0253881,-0.0400823,0.000841764,0.362501,0.739947,1.57648,1.6256,125,0,1
0.0180006,0.0138832,-0.0488989,0.000858364,0.362321,0.778395,1.57629,1.6256,126,0,1
0.00691545,0.00726103,-0.0459846,0.00089006,0.362192,0.824084,1.57615,1.6256,127,0,1
-0.00441627,0.00440216,-0.036818,0.000940892,0.362108,0.878391,1.57605,1.6256,128,0,1
0.00063952,0.203494,-0.124068,0.000196964,0.0123839,0.0071941,1.68703,1.6256,129,0,1
0,0,0,0,2.22045e-16,-3.65078e-17,1.70266,1.6256,130,0,1
0.000833053,0.223503,-0.136118,0.000485405,0.0259407,0.0182073,1.68704,1.6256,131,0,1
0.000717709,0.229688,-0.139878,0.000842689,0.0383054,0.0328856,1.68705,1.6256,132,0,1
0.000548023,0.227399,-0.138682,0.00126118,0.0567889,0.0524473,1.68707,1.6256,133,0,1
-0.000281929,0.218641,-0.133707,0.00170128,0.0825184,0.078521,1.6871,1.6256,134,0,1
-0.00105894,0.203928,-0.125017,0.00207893,0.11744,0.11328,1.68715,1.6256,135,0,1
-0.00132588,0.183391,-0.111773,0.00229036,0.164377,0.159623,1.68722,1.6256,136,0,1
0.000546198,0.157652,-0.0915026,0.00226586,0.227201,0.221414,1.68731,1.6256,137,0,1
0.00711319,0.131577,-0.060276,0.00209567,0.304262,0.303807,1.68745,1.6256,138,0,1
0.016869,0.116775,-0.0206832,0.00199889,0.38137,0.386162,1.68762,1.6256,139,0,1
0.0243664,0.118299,0.0156675,0.00198141,0.436353,0.447898,1.68775,1.6256,140,0,1
0.0290959,0.128037,0.0424961,0.00190682,0.462557,0.494179,1.68785,1.6256,141,0,1
0.03293,0.138137,0.0614044,0.00176545,0.475751,0.528872,1.68791,1.6256,142,0,1
