U,WallDistance,nut
0.000000,0.000000,0.000021
1.552816,0.019889,0.002254
1.517680,0.034502,0.004493
1.454784,0.054303,0.006984
1.367744,0.080832,0.009314
1.251019,0.116269,0.011003
1.094095,0.163557,0.011620
0.880655,0.226632,0.011153
0.626447,0.263741,0.010487
0.513067,0.228805,0.010344
0.648435,0.165858,0.010045
0.840222,0.118760,0.009022
1.012813,0.083608,0.007530
1.157864,0.057521,0.005784
1.277406,0.038437,0.003928
1.513059,0.008656,0.000716
0.000000,0.000000,0.000021
1.545405,0.019928,0.002237
1.510910,0.034521,0.004463
1.376081,0.025010,0.002141
1.438867,0.013496,0.000797
0.000000,0.000000,0.000033
1.448276,0.054311,0.006947
1.361407,0.080831,0.009279
1.244848,0.116257,0.010983
1.088331,0.163530,0.011627
0.876056,0.226582,0.011187
0.624634,0.264125,0.010523
0.511786,0.229797,0.010372
0.643011,0.167228,0.010080
0.831335,0.120661,0.009073
1.001706,0.086269,0.007603
1.144869,0.061289,0.005885
1.262076,0.043794,0.004060
1.356312,0.032222,0.002301
1.410925,0.023001,0.000955
1.065110,0.016337,0.000405
0.000000,0.000000,0.000025
0.333042,0.013874,0.000374
0.000000,0.000000,0.000015
0.355438,0.013096,0.000410
0.000000,0.000000,0.000013
0.407509,0.012750,0.000467
0.000000,0.000000,0.000013
0.403934,0.012642,0.000536
0.000000,0.000000,0.000013
0.348528,0.012624,0.000611
0.000000,0.000000,0.000012
0.268277,0.012650,0.000661
0.000000,0.000000,0.000011
0.189042,0.012710,0.000675
0.000000,0.000000,0.000009
0.136172,0.012808,0.000660
0.000000,0.000000,0.000008
0.131277,0.012950,0.000627
0.000000,0.000000,0.000007
0.159045,0.013148,0.000588
0.000000,0.000000,0.000021
1.502055,0.008719,0.000711
1.536099,0.020003,0.002219
1.502439,0.034562,0.004428
1.440215,0.054334,0.006902
1.353579,0.080841,0.009236
1.237267,0.116256,0.010957
1.081239,0.163516,0.011635
0.870366,0.226550,0.011227
0.622128,0.265003,0.010566
0.509602,0.231929,0.010404
0.635541,0.170148,0.010121
0.819255,0.124662,0.009136
0.986298,0.091741,0.007696
1.126277,0.068680,0.006019
1.240077,0.053173,0.004242
1.327103,0.043046,0.002537
1.361806,0.036590,0.001239
1.056618,0.032184,0.000655
0.408700,0.029761,0.000643
0.248878,0.028953,0.000825
0.373705,0.028516,0.001012
0.409950,0.028333,0.001206
0.377976,0.028276,0.001432
0.303943,0.028295,0.001628
0.221812,0.028375,0.001736
0.158642,0.028516,0.001763
0.135877,0.028732,0.001734
0.151922,0.029035,0.001674
1.488253,0.008773,0.000705
0.000000,0.000000,0.000020
1.524196,0.020083,0.002196
1.491658,0.034606,0.004385
1.430013,0.054360,0.006846
1.343705,0.080857,0.009182
1.227722,0.116263,0.010925
1.072290,0.163513,0.011643
0.863145,0.226536,0.011276
0.618566,0.266696,0.010620
0.505954,0.235939,0.010444
0.624800,0.175568,0.010171
0.802079,0.131927,0.009218
0.963842,0.101308,0.007825
1.098559,0.080598,0.006213
1.206379,0.066950,0.004519
1.283723,0.058301,0.002913
1.303575,0.053255,0.001697
1.102721,0.050286,0.001065
0.611783,0.048770,0.000958
0.203602,0.048181,0.001170
0.287118,0.047770,0.001445
0.386959,0.047531,0.001697
0.396552,0.047405,0.001998
0.339330,0.047355,0.002333
0.258549,0.047362,0.002592
0.187979,0.047419,0.002740
0.149495,0.047528,0.002806
0.149609,0.047696,0.002818
0.167913,0.047867,0.002812
0.183774,0.047704,0.002815
1.470757,0.008846,0.000696
0.000000,0.000000,0.000020
1.508836,0.020195,0.002168
1.477857,0.034669,0.004333
1.417024,0.054401,0.006778
1.331190,0.080883,0.009114
1.215656,0.116280,0.010884
1.060993,0.163524,0.011653
0.853995,0.226541,0.011338
0.613568,0.269677,0.010688
0.500156,0.242896,0.010492
0.609344,0.184781,0.010235
0.777468,0.143886,0.009330
0.930908,0.116095,0.008008
1.057086,0.097731,0.006495
1.154670,0.086068,0.004929
1.218906,0.079230,0.003473
1.229622,0.075512,0.002366
1.111317,0.073431,0.001681
0.795489,0.072401,0.001430
0.385884,0.071960,0.001576
0.155777,0.071605,0.001886
0.295589,0.071360,0.002169
0.385369,0.071203,0.002428
0.368476,0.071115,0.002773
0.298959,0.071079,0.003141
0.224536,0.071089,0.003421
0.172295,0.071142,0.003615
0.154193,0.071240,0.003756
0.159764,0.071346,0.003877
0.169465,0.071234,0.003998
1.448397,0.008954,0.000687
0.000000,0.000000,0.000020
1.488862,0.020362,0.002136
1.460085,0.034766,0.004269
