U:0,U:1,U:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
-0.00486411,-0.00781258,0.330183,0.000584276,0.0348897,0.0327896,-1.12831,0.8128,189,0,1
-0.0123755,0.00567993,0.330458,0.000706259,0.0545588,0.0523887,-1.12824,0.8128,190,0,1
-0.0248254,0.015348,0.324822,0.000733769,0.0751001,0.0785174,-1.1282,0.8128,191,0,1
-0.0418051,0.02019,0.310652,0.000673711,0.0890536,0.113342,-1.12819,0.8128,192,0,1
-0.06204,0.0213566,0.281886,0.000558392,0.0938451,0.159765,-1.12819,0.8128,193,0,1
-0.078125,0.0194053,0.229517,0.000425765,0.0937126,0.221661,-1.12819,0.8128,194,0,1
-0.0814419,0.014398,0.141497,0.000338503,0.0935243,0.304198,-1.12819,0.8128,195,0,1
-0.0600351,0.00933511,0.0270449,0.000330372,0.0937306,0.386749,-1.12819,0.8128,196,0,1
-0.0404519,0.00743079,-0.0676362,0.000346884,0.093875,0.448684,-1.12818,0.8128,197,0,1
-0.0350786,0.00788767,-0.128264,0.000355853,0.0893171,0.495177,-1.12818,0.8128,198,0,1
-0.02731,0.00811124,-0.173959,0.00036039,0.0757853,0.530117,-1.12818,0.8128,199,0,1
-0.0211752,0.00598626,-0.208419,0.000338946,0.0553317,0.556429,-1.1282,0.8128,200,0,1
-0.0156476,0.00154905,-0.232789,0.000278454,0.0354346,0.576293,-1.12825,0.8128,201,0,1
-0.0109113,-0.00369872,-0.245854,0.000183847,0.0209463,0.591222,-1.12836,0.8128,202,0,1
-0.0054705,-0.0080378,-0.232133,7.70266e-05,0.00925324,0.602384,-1.12839,0.8128,203,0,1
0,0,0,0,2.22045e-16,0.6096,-1.12275,0.8128,204,0,1
-0.00424781,-0.0280566,0.301369,0.000229693,0.00947656,0.00717114,-1.08078,0.8128,205,0,1
0,0,0,0,2.22045e-16,-1.64205e-16,-1.07383,0.8128,206,0,1
-0.00910537,-0.0134511,0.324874,0.000491221,0.0211835,0.0181545,-1.08092,0.8128,207,0,1
-0.0190918,0.00149915,0.332764,0.000722401,0.035246,0.0328255,-1.08097,0.8128,208,0,1
-0.0297933,0.014487,0.331283,0.000869182,0.0547931,0.0524077,-1.08099,0.8128,209,0,1
-0.0433206,0.023957,0.323509,0.000903067,0.0812072,0.0785273,-1.08103,0.8128,210,0,1
-0.058858,0.0285885,0.307187,0.000831605,0.111151,0.113353,-1.08106,0.8128,211,0,1
-0.0750742,0.028695,0.276878,0.000690264,0.133621,0.159784,-1.08108,0.8128,212,0,1
-0.0857604,0.0250435,0.224368,0.00053314,0.141161,0.221693,-1.0811,0.8128,213,0,1
-0.0838053,0.0180179,0.137973,0.000443305,0.141037,0.304248,-1.0811,0.8128,214,0,1
-0.0595922,0.0111733,0.026373,0.000454231,0.141181,0.386821,-1.08109,0.8128,215,0,1
-0.038497,0.00866073,-0.0665613,0.000480003,0.133874,0.448784,-1.08107,0.8128,216,0,1
-0.031677,0.00915552,-0.126298,0.000479061,0.111822,0.49531,-1.08105,0.8128,217,0,1
-0.0233499,0.00949629,-0.170729,0.000466995,0.0819843,0.530287,-1.08101,0.8128,218,0,1
-0.0171283,0.00798901,-0.204645,0.000422722,0.0553806,0.556622,-1.08095,0.8128,219,0,1
-0.0122228,0.00474697,-0.229277,0.000336489,0.0356287,0.576413,-1.08092,0.8128,220,0,1
-0.00848897,0.000686312,-0.243319,0.00021664,0.0213807,0.591265,-1.08086,0.8128,221,0,1
-0.00428455,-0.0032213,-0.232166,8.94512e-05,0.00954681,0.602379,-1.08072,0.8128,222,0,1
0,0,0,0,2.22045e-16,0.6096,-1.07378,0.8128,223,0,1
-0.00688661,-0.00959212,0.305428,0.000264176,0.0098872,0.00718187,-1.02243,0.8128,224,0,1
0,0,0,0,2.22045e-16,-1.57562e-16,-1.01395,0.8128,225,0,1
-0.0137198,0.00414168,0.326564,0.000561732,0.0218458,0.018176,-1.0226,0.8128,226,0,1
-0.0258565,0.0168505,0.333064,0.000831158,0.0356705,0.0328475,-1.02271,0.8128,227,0,1
-0.0385422,0.027113,0.330163,0.00100974,0.055078,0.0524244,-1.0228,0.8128,228,0,1
-0.053163,0.0345535,0.320722,0.00106203,0.0814059,0.0785389,-1.02287,0.8128,229,0,1
-0.0681659,0.0378457,0.302824,0.000988204,0.116751,0.113367,-1.02295,0.8128,230,0,1
-0.0820768,0.0365357,0.271591,0.000825727,0.158148,0.159807,-1.023,0.8128,231,0,1
-0.0896839,0.0309612,0.2193,0.000645765,0.189496,0.221731,-1.02302,0.8128,232,0,1
-0.0845539,0.0215892,0.134374,0.000552454,0.199687,0.304304,-1.02303,0.8128,233,0,1
