U:0,U:1,U:2,grad(T):0,grad(T):1,grad(T):2,nWall:0,nWall:1,nWall:2,nut,yWall,Points:0,Points:1,Points:2,Point ID,Block Number
0.100545,0.176241,0.00161665,5.8993,-1.36576,0.359397,0,-1,0,0.000875798,0.14139,0.588777,1.35527,1.2192,65,1
0.109797,0.171011,0.000763304,3.13487,-0.707145,0.368374,0,-1,0,0.000960547,0.184996,0.588905,1.39919,1.2192,66,1
0.097617,0.17549,0.00186045,9.9746,-2.66045,0.358885,0,-1,0,0.000791622,0.13929,0.599764,1.35512,1.2192,67,1
0.10762,0.17105,0.00102851,5.26989,-1.39217,0.369889,0,-1,0,0.000896123,0.183383,0.599901,1.39905,1.2192,68,1
0.0942347,0.17207,0.00197491,14.7887,-4.81045,0.348677,0,-1,0,0.000702101,0.138151,0.60806,1.35489,1.2192,69,1
0.105153,0.169731,0.00122801,7.95279,-2.49258,0.367954,0,-1,0,0.000824042,0.18251,0.60819,1.39887,1.2192,70,1
0.0884359,0.162861,0.00189734,19.059,-8.26437,0.3187,0,-1,0,0.000601291,0.137587,0.621727,1.35462,1.2192,71,1
0.101184,0.165433,0.00134772,11.0919,-4.42294,0.357307,0,-1,0,0.000735414,0.182072,0.621834,1.39864,1.2192,72,1
0.0777648,0.144935,0.00146626,20.205,-11.6912,0.266596,0,-1,0,0.000511684,0.137306,0.638002,1.35433,1.2192,73,1
0.0942653,0.155807,0.00126146,13.6423,-6.93446,0.331442,0,-1,0,0.000645418,0.181842,0.638077,1.3984,1.2192,74,1
0.0603736,0.11827,0.000618304,16.7109,-12.9424,0.200924,0,-1,0,0.000448633,0.137048,0.657345,1.35405,1.2192,75,1
0.0828607,0.139292,0.000864049,13.9761,-8.97476,0.286783,0,-1,0,0.00057332,0.181624,0.657387,1.39818,1.2192,76,1
0.035597,0.0851918,-0.000539995,9.8966,-11.2936,0.135402,0,-1,0,0.000402397,0.136834,0.680313,1.35383,1.2192,77,1
0.0656332,0.115886,0.000130255,11.4356,-9.50203,0.227423,0,-1,0,0.000523199,0.181435,0.680328,1.39798,1.2192,78,1
0,0,0,-63.6051,-3.33668,-0.449279,-1,2.21885e-16,-2.21867e-16,0,2.22045e-16,5.36583e-17,1.46093,1.2192,79,1
0.00289357,0.114108,-2.60471e-05,-6.36624,-0.814668,-0.0632464,-1,2.21885e-16,-2.21867e-16,6.98285e-05,0.00967667,0.00719175,1.45311,1.2192,80,1
0.00646202,0.136637,-0.00221612,-3.92591,0.993306,0.210567,-1,2.21885e-16,-2.21867e-16,0.000202571,0.0214518,0.0182062,1.45312,1.2192,81,1
0.0133871,0.146749,-0.00432733,-2.95811,0.26108,0.230047,-1,2.21885e-16,-2.21867e-16,0.000352396,0.0354242,0.0328857,1.45312,1.2192,82,1
0.0227347,0.153561,-0.00564808,-1.37468,0.267277,0.258276,-1,2.21885e-16,-2.21867e-16,0.000506525,0.0549031,0.0524481,1.45313,1.2192,83,1
0.035237,0.157963,-0.00636456,-0.527321,0.264608,0.285665,-1,2.21885e-16,-2.21867e-16,0.000664778,0.0812441,0.0785222,1.45315,1.2192,84,1
0.0516211,0.1602,-0.00642034,-0.0340048,0.252588,0.316369,-1,2.21885e-16,-2.21867e-16,0.00082378,0.116557,0.113282,1.45317,1.2192,85,1
0.0712787,0.159906,-0.00615022,0.202636,0.232084,0.354775,-1,2.21885e-16,-2.21867e-16,0.000976008,0.163755,0.159625,1.45321,1.2192,86,1
0.0925029,0.157127,-0.00576201,0.205785,0.210893,0.402996,-1,2.21885e-16,-2.21867e-16,0.0010977,0.226758,0.221418,1.45325,1.2192,87,1
0.110535,0.154079,-0.00502187,0.0589708,0.207515,0.442,-0.75,-0.25,-1.664e-16,0.00114778,0.303077,0.303811,1.45332,1.2192,88,1
0.120693,0.153262,-0.00401703,-0.0730431,0.218696,0.449114,-0.25,-0.75,-5.54667e-17,0.00114547,0.32709,0.386167,1.4534,1.2192,89,1
0.124213,0.15462,-0.00299414,-0.126705,0.226257,0.433055,0,-1,0,0.00114487,0.294909,0.447905,1.45346,1.2192,90,1
0.124325,0.156931,-0.00209468,-0.123036,0.226486,0.411977,0,-1,0,0.00114882,0.269523,0.494186,1.4535,1.2192,91,1
0.123057,0.159443,-0.00138651,-0.0314454,0.206911,0.394066,0,-1,0,0.0011417,0.254606,0.528878,1.45352,1.2192,92,1
0.121378,0.161685,-0.000840343,0.214531,0.139621,0.3824,0,-1,0,0.00111776,0.246201,0.554886,1.45351,1.2192,93,1
0.119672,0.163399,-0.000410976,0.682728,-0.00460258,0.376834,0,-1,0,0.00108106,0.241631,0.57439,1.45347,1.2192,94,1
0.118078,0.16449,-8.08305e-05,1.43319,-0.244527,0.375601,0,-1,0,0.00103777,0.239216,0.589026,1.45339,1.2192,95,1
0.116653,0.164968,0.000167071,2.44879,-0.572843,0.376328,0,-1,0,0.000992812,0.237962,0.600025,1.45327,1.2192,96,1
0.115047,0.164827,0.000390732,3.77814,-1.08879,0.376512,0,-1,0,0.000939741,0.237282,0.608307,1.45311,1.2192,97,1
0.112539,0.163359,0.00060656,5.61592,-2.04455,0.374239,0,-1,0,0.000868875,0.236936,0.621934,1.45293,1.2192,98,1
0.108326,0.159095,0.000734529,7.76428,-3.52555,0.365512,0,-1,0,0.000787187,0.236746,0.638153,1.45273,1.2192,99,1
0.101372,0.15041,0.00067953,9.40088,-5.24348,0.344136,0,-1,0,0.000710627,0.236562,0.657438,1.45254,1.2192,100,1
0.0904102,0.136062,0.000365911,9.62154,-6.60507,0.306434,0,-1,0,0.000651101,0.236396,0.680357,1.45236,1.2192,101,1
0.074335,0.116039,-0.000218015,8.04603,-6.97101,0.253565,0,-1,0,0.000611293,0.236255,0.707587,1.45221,1.2192,102,1
0.042261,0.087552,-0.000826025,6.83082,-8.10145,0.162195,0,-1,0,0.000486784,0.181279,0.707575,1.39781,1.2192,103,1
0.0530113,0.091767,-0.000981192,5.10195,-6.00266,0.192989,0,-1,0,0.000586418,0.236142,0.739939,1.45209,1.2192,104,1
0.0149327,0.058242,-0.0016671,2.05887,-5.62409,0.10371,0,-1,0,0.000463489,0.18116,0.739939,1.39767,1.2192,105,1
0.0278833,0.0658954,-0.00170293,1.91486,-4.16269,0.128146,0,-1,0,0.000580171,0.236057,0.778382,1.45199,1.2192,106,1
-0.00936291,0.0353712,-0.00205445,-1.00036,-3.53688,0.0556664,0,-1,0,0.000482236,0.181074,0.778388,1.39757,1.2192,107,1
0.0045729,0.0442595,-0.00205276,-0.346899,-2.36273,0.0719444,0,-1,0,0.000619028,0.236,0.824069,1.45191,1.2192,108,1
-0.0250662,0.0233233,-0.00187965,-2.04532,-2.40594,0.0209545,0,-1,0,0.000567802,0.181021,0.824079,1.3975,1.2192,109,1
0,0,0,-60.4222,-3.6871,-0.699971,-1,2.21885e-16,-2.21867e-16,0,2.22045e-16,6.8904e-17,1.52964,1.2192,110,1
0.00294474,0.113291,0.000276775,-6.10206,-0.847173,-0.10854,-1,2.21885e-16,-2.21867e-16,6.77618e-05,0.0100919,0.00720879,1.52005,1.2192,111,1
0.00626901,0.135199,-0.00198285,-3.68125,1.12925,0.297864,-1,2.21885e-16,-2.21867e-16,0.000198104,0.0221066,0.0182353,1.52006,1.2192,112,1
0.0129143,0.144638,-0.00414867,-2.89668,0.259622,0.23057,-1,2.21885e-16,-2.21867e-16,0.000345942,0.0358346,0.0329191,1.52006,1.2192,113,1
0.021873,0.151202,-0.00551065,-1.36251,0.264983,0.259135,-1,2.21885e-16,-2.21867e-16,0.000498509,0.0551766,0.0524808,1.52007,1.2192,114,1
0.0338421,0.155535,-0.00622569,-0.540382,0.261179,0.287043,-1,2.21885e-16,-2.21867e-16,0.000655996,0.0814363,0.0785529,1.52008,1.2192,115,1
0.0495971,0.157685,-0.00624102,-0.0593448,0.248191,0.318286,-1,2.21885e-16,-2.21867e-16,0.000815285,0.116699,0.113312,1.5201,1.2192,116,1
0.068618,0.157319,-0.00591194,0.176336,0.227663,0.356687,-1,2.21885e-16,-2.21867e-16,0.00096925,0.163867,0.159658,1.52013,1.2192,117,1
0.0894378,0.15443,-0.00548839,0.191996,0.207612,0.403735,-1,2.21885e-16,-2.21867e-16,0.00109668,0.226856,0.221457,1.52016,1.2192,118,1
0.107798,0.150953,-0.00479713,0.063019,0.205683,0.44193,-1,2.21885e-16,-2.21867e-16,0.00115807,0.304037,0.303863,1.52021,1.2192,119,1
0.119215,0.149334,-0.00395519,-0.0620311,0.220012,0.451536,-0.5,-0.5,-1.10933e-16,0.00116305,0.355139,0.386241,1.52027,1.2192,120,1
0.124486,0.149721,-0.00316573,-0.119753,0.232131,0.43971,0,-1,0,0.00115967,0.351729,0.447985,1.52032,1.2192,121,1
0.126347,0.151042,-0.00246259,-0.133694,0.237522,0.421909,0,-1,0,0.00116008,0.330644,0.494272,1.52036,1.2192,122,1
0.126605,0.152641,-0.00187409,-0.102797,0.231879,0.405922,0,-1,0,0.00115716,0.318566,0.528973,1.52037,1.2192,123,1
0.126195,0.154164,-0.00141586,-0.00317827,0.203103,0.394424,0,-1,0,0.0011458,0.311878,0.554989,1.52036,1.2192,124,1
0.12553,0.155422,-0.00106793,0.19169,0.13988,0.387574,0,-1,0,0.00112633,0.308278,0.574501,1.52032,1.2192,125,1
0.124796,0.156347,-0.000805955,0.505845,0.036274,0.384291,0,-1,0,0.00110151,0.306384,0.589143,1.52025,1.2192,126,1
0.124087,0.156944,-0.000603199,0.931206,-0.103224,0.383062,0,-1,0,0.00107411,0.305399,0.600142,1.52014,1.2192,127,1
0.123253,0.157311,-0.000404025,1.50671,-0.320429,0.382282,0,-1,0,0.00103977,0.304864,0.608418,1.52001,1.2192,128,1
0.121925,0.157218,-0.000176801,2.39631,-0.736322,0.381269,0,-1,0,0.000990127,0.304588,0.622031,1.51986,1.2192,129,1
0.119684,0.155913,3.82922e-05,3.66328,-1.4567,0.378798,0,-1,0,0.000925653,0.30443,0.638232,1.51969,1.2192,130,1
0.115936,0.152301,0.000178812,5.08827,-2.49349,0.371201,0,-1,0,0.00085475,0.304274,0.657497,1.51953,1.2192,131,1
0.109776,0.145063,0.000173881,6.21206,-3.68949,0.353677,0,-1,0,0.000789067,0.304132,0.680396,1.51938,1.2192,132,1
0.100095,0.133151,-3.66661e-05,6.50694,-4.68955,0.322415,0,-1,0,0.000738999,0.304008,0.70761,1.51925,1.2192,133,1
0.0860173,0.116358,-0.000468962,5.695,-5.06936,0.277694,0,-1,0,0.000708635,0.303904,0.73995,1.51914,1.2192,134,1
0.0672893,0.0956234,-0.00106232,3.98906,-4.57325,0.222201,0,-1,0,0.000697462,0.303824,0.778385,1.51904,1.2192,135,1
0.0453016,0.0732619,-0.00165749,1.97926,-3.36145,0.162876,0,-1,0,0.000709182,0.303766,0.824068,1.51897,1.2192,136,1
0.00661165,0.0518968,-0.00160545,2.95937,-8.15688,0.084837,0,-1,0,0.000365375,0.136667,0.707579,1.35364,1.2192,137,1
-0.0182954,0.0275577,-0.00207242,-1.27706,-5.84778,0.0522656,0,-1,0,0.000363393,0.136546,0.739953,1.35351,1.2192,138,1
-0.0329753,0.0167203,-0.00189945,-2.55599,-4.94336,0.0294319,0,-1,0,0.000425509,0.136466,0.778407,1.3534,1.2192,139,1
-0.040254,0.0140334,-0.00139189,-2.50177,-4.63264,0.0114842,0,-1,0,0.00052549,0.136424,0.824098,1.35333,1.2192,140,1
-0.0468415,0.00551664,-0.000876982,20.9231,-106.556,1.21467,0,-1,0,5.64097e-05,0.0130937,0.637894,1.23068,1.2192,141,1
0,0,0,15.4564,-454.734,-2.88472,0,-1,0,0,2.22045e-16,0.639972,1.2192,1.2192,142,1
-0.0165577,0.0738686,0.000773792,47.4477,-90.7524,-0.211016,0,-1,0,0.000139815,0.0138777,0.621108,1.23175,1.2192,143,1
0,0,0,24.3958,-594.464,-2.99766,0,-1,0,0,2.22045e-16,0.623672,1.2192,1.2192,144,1
-0.042273,-0.00564846,-0.0023114,-0.104188,-91.3203,1.20103,0,-1,0,3.48984e-05,0.0127438,0.657531,1.23032,1.2192,145,1
0,0,0,-3.47972,-446.426,-2.6797,0,-1,0,0,2.22045e-16,0.659887,1.2192,1.2192,146,1
-0.0377207,-0.00284322,-0.00259764,-1.07379,-101.1,0.96459,0,-1,0,3.75572e-05,0.0126332,0.680631,1.23021,1.2192,147,1
0,0,0,-5.57224,-419.412,-2.90279,0,-1,0,0,2.22045e-16,0.683391,1.2192,1.2192,148,1
-0.0342541,-0.00113024,-0.00226843,-2.90939,-107.801,1.16615,0,-1,0,4.29414e-05,0.0126131,0.707915,1.23017,1.2192,149,1
0,0,0,-9.6986,-404.916,-2.97011,0,-1,0,0,2.22045e-16,0.711146,1.2192,1.2192,150,1
